"scientificName","decimalLatitude","decimalLongitude","genericName"
"Macropus fuliginosus (Desmarest, 1817)",-32.703975,116.68975,"Macropus"
"Lynx rufus (Schreber, 1777)",NA,NA,"Lynx"
"Myocastor coypus (Molina, 1782)",32.829116,-96.714706,"Myocastor"
"Procyon lotor (Linnaeus, 1758)",45.512796,-75.346805,"Procyon"
"Sciurus carolinensis Gmelin, 1788",34.161919,-80.896326,"Sciurus"
"Lutra lutra (Linnaeus, 1758)",69.98896,23.28312,"Lutra"
"Panthera leo leo",12.486123,2.46143,"Panthera"
"Equus grevyi Oustalet, 1882",0.221976,36.889417,"Equus"
"Myocastor coypus (Molina, 1782)",45.487881,8.650585,"Myocastor"
"Oryx gazella (Linnaeus, 1758)",-19.004936,16.372719,"Oryx"
"Chaetodipus penicillatus (Woodhouse, 1852)",33.08056,-116.359305,"Chaetodipus"
"Phoca vitulina Linnaeus, 1758",39.763426,-74.101097,"Phoca"
"Procyon lotor (Linnaeus, 1758)",29.160562,-98.129858,"Procyon"
"Sciurus carolinensis Gmelin, 1788",42.327972,-72.54305,"Sciurus"
"Sciurus carolinensis Gmelin, 1788",42.327972,-72.54305,"Sciurus"
"Odocoileus virginianus (Zimmermann, 1780)",NA,NA,"Odocoileus"
"Indri indri (Gmelin, 1788)",-18.997748,48.56059,"Indri"
"Cebus capucinus (Linnaeus, 1758)",9.122118,-79.775642,"Cebus"
"Sciurus carolinensis Gmelin, 1788",33.384129,-86.871266,"Sciurus"
"Lontra Gray, 1843",29.31,-82.43,"Lontra"
"Otospermophilus beecheyi (Richardson, 1829)",37.408366,-122.165517,"Otospermophilus"
"Odocoileus virginianus (Zimmermann, 1780)",42.406103,-85.38096,"Odocoileus"
"Lepus californicus Gray, 1837",33.186803,-116.318848,"Lepus"
"Erethizon dorsatus (Linnaeus, 1758)",44.439155,-77.303025,"Erethizon"
"Odocoileus virginianus (Zimmermann, 1780)",30.08413,-95.69493,"Odocoileus"
