"scientificName","decimalLatitude","decimalLongitude","genericName"
"Bos gaurus C.H.Smith, 1827",11.720406,76.785273,"Bos"
"Funambulus pennantii Wroughton, 1905",23.03469,72.549795,"Funambulus"
"Rusa unicolor (Kerr, 1792)",11.619949,76.589365,"Rusa"
"Martes flavigula (Boddaert, 1785)",30.066753,79.0193,"Martes"
"Elephas maximus Linnaeus, 1758",11.95059,76.237184,"Elephas"
"Ratufa bicolor (Sparrman, 1778)",27.424688,96.330742,"Ratufa"
"Rusa unicolor (Kerr, 1792)",11.779332,76.430334,"Rusa"
"Paradoxurus hermaphroditus (Pallas, 1777)",12.989807,80.234413,"Paradoxurus"
"Felis catus Linnaeus, 1758",26.635075,92.799276,"Felis"
"Bos frontalis Lambert, 1804",25.779279,94.176723,"Bos"
"Ratufa indica (Erxleben, 1777)",10.129934,76.686974,"Ratufa"
"Macaca mulatta (Zimmermann, 1780)",30.904486,77.096736,"Macaca"
"Macaca mulatta (Zimmermann, 1780)",28.627505,77.213592,"Macaca"
"Callosciurus pygerythrus (I.Geoffroy Saint-Hilaire, 1833)",24.434265,92.32997,"Callosciurus"
"Rhinoceros unicornis Linnaeus, 1758",NA,NA,"Rhinoceros"
"Antilope cervicapra (Linnaeus, 1758)",19.096924,74.434937,"Antilope"
"Semnopithecus schistaceus Hodgson, 1840",30.904486,77.096736,"Semnopithecus"
"Macaca radiata (É.Geoffroy Saint-Hilaire, 1812)",11.558989,76.042508,"Macaca"
"Trachypithecus johnii (J.Fischer, 1829)",9.533837,77.315904,"Trachypithecus"
"Ratufa indica (Erxleben, 1777)",10.230331,77.484358,"Ratufa"
"Callosciurus pygerythrus (I.Geoffroy Saint-Hilaire, 1833)",24.43202,92.330689,"Callosciurus"
"Gazella bennettii (Sykes, 1831)",19.091949,74.450585,"Gazella"
"Hyaena hyaena (Linnaeus, 1758)",21.551955,82.070501,"Hyaena"
"Funambulus sublineatus (Waterhouse, 1838)",10.236501,77.56125,"Funambulus"
"Semnopithecus hypoleucos Blyth, 1841",14.879067,74.159956,"Semnopithecus"
"Bos gaurus C.H.Smith, 1827",10.218572,77.528486,"Bos"
"Panthera tigris tigris",19.966641,79.585669,"Panthera"
"Funambulus palmarum (Linnaeus, 1766)",10.230331,77.484358,"Funambulus"
"Bos gaurus C.H.Smith, 1827",9.478217,77.356646,"Bos"
"Elephas maximus indicus Cuvier, 1798",26.784897,90.934259,"Elephas"
"Rusa unicolor (Kerr, 1792)",11.653487,76.463471,"Rusa"
"Semnopithecus priam Blyth, 1844",11.471467,76.52191,"Semnopithecus"
"Rusa unicolor (Kerr, 1792)",26.665059,90.952056,"Rusa"
"Bubalus arnee (Kerr, 1792)",26.72852,90.835069,"Bubalus"
"Panthera tigris (Linnaeus, 1758)",26.120707,76.35995,"Panthera"
"Elephas maximus indicus Cuvier, 1798",28.377629,94.684595,"Elephas"
"Prionailurus viverrinus (Bennett, 1833)",15.138372,79.495884,"Prionailurus"
"Axis axis (Erxleben, 1777)",11.59279,76.587402,"Axis"
"Trachypithecus pileatus (Blyth, 1843)",26.79088,90.981788,"Trachypithecus"
"Canis aureus Linnaeus, 1758",23.524118,86.637502,"Canis"
"Axis porcinus (Zimmermann, 1780)",26.634808,91.099613,"Axis"
"Anathana ellioti (Waterhouse, 1850)",23.035004,80.029188,"Anathana"
"Rhinoceros unicornis Linnaeus, 1758",26.764628,91.002874,"Rhinoceros"
"Madromys blanfordi (Thomas, 1881)",18.383819,73.747441,"Madromys"
"Bos gaurus C.H.Smith, 1827",26.65946,90.874967,"Bos"
"Bos gaurus C.H.Smith, 1827",11.698931,76.528002,"Bos"
"Pteropus giganteus (Brünnich, 1782)",32.192216,76.228828,"Pteropus"
"Sus scrofa Linnaeus, 1758",26.6984,90.989464,"Sus"
"Elephas maximus Linnaeus, 1758",11.471728,76.535396,"Elephas"
"Semnopithecus dussumieri I.Geoffroy Saint-Hilaire, 1843",26.037777,76.352151,"Semnopithecus"
"Macaca radiata (É.Geoffroy Saint-Hilaire, 1812)",12.947778,77.582222,"Macaca"
"Semnopithecus entellus (Dufresne, 1797)",22.454991,86.997439,"Semnopithecus"
"Macaca radiata (É.Geoffroy Saint-Hilaire, 1812)",11.666832,76.628029,"Macaca"
"Ochotona macrotis (Günther, 1875)",32.215433,77.283756,"Ochotona"
"Canis familiaris Linnaeus, 1758",28.571709,77.197746,"Canis"
"Marmota himalayana (Hodgson, 1841)",34,78,"Marmota"
"Funambulus palmarum (Linnaeus, 1766)",NA,NA,"Funambulus"
"Pseudois nayaur (Hodgson, 1833)",33.871392,77.636108,"Pseudois"
"Axis axis (Erxleben, 1777)",11.579831,76.586067,"Axis"
"Loris lydekkerianus Cabrera, 1908",15.037278,74.250691,"Loris"
"Bos gaurus C.H.Smith, 1827",10.346815,77.515426,"Bos"
"Callosciurus pygerythrus (I.Geoffroy Saint-Hilaire, 1833)",24.43202,92.330689,"Callosciurus"
"Felis catus Linnaeus, 1758",20.36188,82.255515,"Felis"
"Macaca radiata (É.Geoffroy Saint-Hilaire, 1812)",16.552396,73.831035,"Macaca"
"Macaca radiata (É.Geoffroy Saint-Hilaire, 1812)",12.992626,80.236906,"Macaca"
"Felis catus Linnaeus, 1758",24.43202,92.330689,"Felis"
"Macaca mulatta (Zimmermann, 1780)",27.175485,78.041141,"Macaca"
"Callosciurus pygerythrus (I.Geoffroy Saint-Hilaire, 1833)",24.43202,92.330689,"Callosciurus"
"Antilope cervicapra (Linnaeus, 1758)",12.98964,80.232924,"Antilope"
"Semnopithecus dussumieri I.Geoffroy Saint-Hilaire, 1843",24.579702,73.685766,"Semnopithecus"
"Canis familiaris Linnaeus, 1758",13.000294,80.273231,"Canis"
"Panthera pardus fusca (Meyer, 1794)",11.688059,76.470981,"Panthera"
"Trachypithecus phayrei (Blyth, 1847)",24.40803,92.353753,"Trachypithecus"
"Axis axis (Erxleben, 1777)",12.990405,80.231297,"Axis"
"Paradoxurus hermaphroditus (Pallas, 1777)",12.83731,74.908931,"Paradoxurus"
"Paradoxurus hermaphroditus (Pallas, 1777)",22.510951,88.356109,"Paradoxurus"
"Funambulus tristriatus (Waterhouse, 1837)",17.685928,74.00071,"Funambulus"
"Funambulus pennantii Wroughton, 1905",22.294886,73.243232,"Funambulus"
"Bos gaurus C.H.Smith, 1827",17.931865,73.750456,"Bos"
"Macaca radiata (É.Geoffroy Saint-Hilaire, 1812)",19.221292,72.954863,"Macaca"
"Lepus nigricollis F.Cuvier, 1823",18.336235,74.056482,"Lepus"
"Herpestes auropunctatus (Hodgson, 1836)",26.163519,91.780725,"Herpestes"
"Ratufa bicolor (Sparrman, 1778)",24.396381,92.340907,"Ratufa"
"Herpestes auropunctatus (Hodgson, 1836)",26.144517,91.736237,"Herpestes"
"Funambulus palmarum (Linnaeus, 1766)",12.982084,77.620138,"Funambulus"
